GCInfo{gcName='MarkSweepCompact', gcStartTime=14948, gcEndTime=16329, gcDuration=1381}
GCInfo{gcName='MarkSweepCompact', gcStartTime=16330, gcEndTime=17706, gcDuration=1376}
GCInfo{gcName='MarkSweepCompact', gcStartTime=17707, gcEndTime=19085, gcDuration=1378}
GCInfo{gcName='MarkSweepCompact', gcStartTime=19086, gcEndTime=20454, gcDuration=1368}
GCInfo{gcName='MarkSweepCompact', gcStartTime=20454, gcEndTime=21813, gcDuration=1359}
GCInfo{gcName='MarkSweepCompact', gcStartTime=21813, gcEndTime=23157, gcDuration=1344}
GCInfo{gcName='MarkSweepCompact', gcStartTime=23157, gcEndTime=24498, gcDuration=1341}
GCInfo{gcName='MarkSweepCompact', gcStartTime=24498, gcEndTime=25781, gcDuration=1283}
GCInfo{gcName='MarkSweepCompact', gcStartTime=25781, gcEndTime=27066, gcDuration=1285}
GCInfo{gcName='MarkSweepCompact', gcStartTime=27067, gcEndTime=28378, gcDuration=1311}
GCInfo{gcName='MarkSweepCompact', gcStartTime=28378, gcEndTime=29892, gcDuration=1514}
GCInfo{gcName='MarkSweepCompact', gcStartTime=29893, gcEndTime=31180, gcDuration=1287}
GCInfo{gcName='MarkSweepCompact', gcStartTime=31181, gcEndTime=32475, gcDuration=1294}
GCInfo{gcName='MarkSweepCompact', gcStartTime=32475, gcEndTime=33796, gcDuration=1321}
GCInfo{gcName='MarkSweepCompact', gcStartTime=33797, gcEndTime=35322, gcDuration=1525}
GCInfo{gcName='MarkSweepCompact', gcStartTime=35323, gcEndTime=35396, gcDuration=73}
Major total cleanUp 28 Major total duration 31103
Minor total cleanUp 14 Minor total duration 1088
GCInfo{gcName='Copy', gcStartTime=316, gcEndTime=325, gcDuration=9}
GCInfo{gcName='Copy', gcStartTime=332, gcEndTime=347, gcDuration=15}
GCInfo{gcName='Copy', gcStartTime=355, gcEndTime=378, gcDuration=23}
GCInfo{gcName='Copy', gcStartTime=384, gcEndTime=406, gcDuration=22}
GCInfo{gcName='MarkSweepCompact', gcStartTime=406, gcEndTime=468, gcDuration=62}
GCInfo{gcName='Copy', gcStartTime=478, gcEndTime=505, gcDuration=27}
GCInfo{gcName='Copy', gcStartTime=513, gcEndTime=542, gcDuration=29}
GCInfo{gcName='MarkSweepCompact', gcStartTime=543, gcEndTime=649, gcDuration=106}
GCInfo{gcName='Copy', gcStartTime=668, gcEndTime=715, gcDuration=47}
GCInfo{gcName='Copy', gcStartTime=728, gcEndTime=792, gcDuration=64}
GCInfo{gcName='MarkSweepCompact', gcStartTime=792, gcEndTime=970, gcDuration=178}
GCInfo{gcName='Copy', gcStartTime=1004, gcEndTime=1096, gcDuration=92}
