GCInfo{gcName='G1 Young Generation', gcStartTime=5527, gcEndTime=8300, gcDuration=2773}
GCInfo{gcName='G1 Young Generation', gcStartTime=8360, gcEndTime=8381, gcDuration=21}
GCInfo{gcName='G1 Old Generation', gcStartTime=8381, gcEndTime=10911, gcDuration=2530}
GCInfo{gcName='G1 Young Generation', gcStartTime=10951, gcEndTime=10997, gcDuration=46}
GCInfo{gcName='G1 Young Generation', gcStartTime=11045, gcEndTime=11101, gcDuration=56}
GCInfo{gcName='G1 Young Generation', gcStartTime=12311, gcEndTime=13501, gcDuration=1190}
GCInfo{gcName='G1 Young Generation', gcStartTime=13521, gcEndTime=13540, gcDuration=19}
GCInfo{gcName='G1 Old Generation', gcStartTime=13540, gcEndTime=16398, gcDuration=2858}
GCInfo{gcName='G1 Young Generation', gcStartTime=16890, gcEndTime=16905, gcDuration=15}
GCInfo{gcName='G1 Old Generation', gcStartTime=16905, gcEndTime=19613, gcDuration=2708}
GCInfo{gcName='G1 Old Generation', gcStartTime=19613, gcEndTime=22240, gcDuration=2627}
GCInfo{gcName='G1 Young Generation', gcStartTime=22240, gcEndTime=22241, gcDuration=1}
GCInfo{gcName='G1 Young Generation', gcStartTime=22241, gcEndTime=22242, gcDuration=1}
GCInfo{gcName='G1 Old Generation', gcStartTime=22242, gcEndTime=24907, gcDuration=2665}
GCInfo{gcName='G1 Old Generation', gcStartTime=24907, gcEndTime=27464, gcDuration=2557}
GCInfo{gcName='G1 Young Generation', gcStartTime=27464, gcEndTime=27465, gcDuration=1}
GCInfo{gcName='G1 Young Generation', gcStartTime=27465, gcEndTime=27466, gcDuration=1}
GCInfo{gcName='G1 Old Generation', gcStartTime=27466, gcEndTime=30267, gcDuration=2801}
GCInfo{gcName='G1 Old Generation', gcStartTime=30267, gcEndTime=32814, gcDuration=2547}
GCInfo{gcName='G1 Young Generation', gcStartTime=32814, gcEndTime=32815, gcDuration=1}
GCInfo{gcName='G1 Young Generation', gcStartTime=32815, gcEndTime=32816, gcDuration=1}
GCInfo{gcName='G1 Old Generation', gcStartTime=32816, gcEndTime=33137, gcDuration=321}
Major total cleanUp 11 Major total duration 24385
Minor total cleanUp 34 Minor total duration 4917
